NO;DEPT_DESC;DEPT_SHORT_DESC;VACANCY;APPLICATION_COUNT;HIRE_COUNT;RECEIVED_DATE;APPROVED_DATE;OPEN_DATE;CLOSE_DATE;ISSUE_DATE
1;(7P) Office of the Assist. Regional Administrator- PBS;7;471551;38;1;18/08/2004 00.00;19/08/2004 00.00;19/08/2004 00.00;17/09/2004 00.00;01/10/2004 00.00
2;(7P) Office of the Assist. Regional Administrator- PBS;7;471811;9;1;17/09/2004 00.00;20/09/2004 00.00;20/09/2004 00.00;04/10/2004 00.00;13/10/2004 00.00
3;(7P) Office of the Assist. Regional Administrator- PBS;7;471811;9;1;17/09/2004 00.00;20/09/2004 00.00;20/09/2004 00.00;04/10/2004 00.00;13/10/2004 00.00
4;(7P) Office of the Assist. Regional Administrator- PBS;7;471811;9;1;17/09/2004 00.00;20/09/2004 00.00;20/09/2004 00.00;04/10/2004 00.00;13/10/2004 00.00
5;(7P) Office of the Assist. Regional Administrator- PBS;7;471811;9;1;17/09/2004 00.00;20/09/2004 00.00;20/09/2004 00.00;04/10/2004 00.00;13/10/2004 00.00
6;*(TFM) Federal Sys Integ & Mgmt Ctr (ABOLISHED);CO;040057819MP;1;1;12/10/2004 00.00;12/10/2004 00.00;13/10/2004 00.00;26/10/2004 00.00;03/11/2004 00.00
7;(8P) Office of the Assist. Regional Administrator- PBS;8;480385;4;1;16/09/2004 00.00;17/09/2004 00.00;17/09/2004 00.00;30/09/2004 00.00;14/10/2004 00.00
8;(8P) Office of the Assist. Regional Administrator- PBS;8;480385;4;1;16/09/2004 00.00;17/09/2004 00.00;17/09/2004 00.00;30/09/2004 00.00;14/10/2004 00.00
9;(7P) Office of the Assist. Regional Administrator- PBS;7;471321;79;1;06/09/2004 00.00;07/09/2004 00.00;07/09/2004 00.00;28/09/2004 00.00;13/10/2004 00.00
10;(7P) Office of the Assist. Regional Administrator- PBS;7;471821;57;1;15/09/2004 00.00;16/09/2004 00.00;16/09/2004 00.00;04/10/2004 00.00;18/10/2004 00.00
11;(7P) Office of the Assist. Regional Administrator- PBS;7;471821;57;1;15/09/2004 00.00;16/09/2004 00.00;16/09/2004 00.00;04/10/2004 00.00;18/10/2004 00.00
12;(7P) Office of the Assist. Regional Administrator- PBS;7;471821;57;1;15/09/2004 00.00;16/09/2004 00.00;16/09/2004 00.00;04/10/2004 00.00;18/10/2004 00.00
13;(7P) Office of the Assist. Regional Administrator- PBS;7;471821;57;1;15/09/2004 00.00;16/09/2004 00.00;16/09/2004 00.00;04/10/2004 00.00;18/10/2004 00.00
14;(7P) Office of the Assist. Regional Administrator- PBS;7;471821;57;1;15/09/2004 00.00;16/09/2004 00.00;16/09/2004 00.00;04/10/2004 00.00;18/10/2004 00.00
15;(7P) Office of the Assist. Regional Administrator- PBS;7;471821;57;1;15/09/2004 00.00;16/09/2004 00.00;16/09/2004 00.00;04/10/2004 00.00;18/10/2004 00.00
16;(7P) Office of the Assist. Regional Administrator- PBS;7;471821;57;1;15/09/2004 00.00;16/09/2004 00.00;16/09/2004 00.00;04/10/2004 00.00;18/10/2004 00.00
17;(7P) Office of the Assist. Regional Administrator- PBS;7;471821;57;1;15/09/2004 00.00;16/09/2004 00.00;16/09/2004 00.00;04/10/2004 00.00;18/10/2004 00.00
18;(XCM) Program Support Division;CO;050004301MP;2;1;05/11/2004 00.00;05/11/2004 00.00;23/11/2004 00.00;07/12/2004 00.00;09/12/2004 00.00
19;*(9FS)Western Distribution Center (ABOLISHED);9;590131;4;1;26/10/2004 00.00;26/10/2004 00.00;08/11/2004 00.00;22/11/2004 00.00;23/11/2004 00.00
20;*(9FS)Western Distribution Center (ABOLISHED);9;590121;2;1;28/10/2004 00.00;28/10/2004 00.00;08/11/2004 00.00;15/11/2004 00.00;17/11/2004 00.00
21;*(2FB) Fleet & Pers Prop Mgmt Div (ABOLISHED);2;520141;2;1;05/11/2004 00.00;05/11/2004 00.00;12/11/2004 00.00;26/11/2004 00.00;29/11/2004 00.00
