NO;DEPT_DESC;DEPT_SHORT_DESC;VACANCY;APPLICATION_COUNT;HIRE_COUNT;RECEIVED_DATE;APPROVED_DATE;OPEN_DATE;CLOSE_DATE;ISSUE_DATE;REFERRAL_RETURNED;POS_OFFERED;VAC_LOCATION;HIRED_DATE;SERIES
3464;(7P) Office of the Assist. Regional Administrator- PBS;7;070704GCDE;68;1;08/08/2007 00.00;09/08/2007 00.00;09/08/2007 00.00;05/09/2007 00.00;20/10/2007 16.23;21/11/2007;21/11/2007;Albuquerque [including Kirtland AFB], NM;20/01/2008 00.00;1176M
3465;(7P) Office of the Assist. Regional Administrator- PBS;7;0707029TMMP;108;5;23/08/2007 00.00;24/08/2007 00.00;24/08/2007 00.00;07/09/2007 00.00;11/10/2007 17.23;08/01/2008;09/01/2008;Fort Worth, TX;20/01/2008 00.00;1101X
3466;(7P) Office of the Assist. Regional Administrator- PBS;7;0707029TMMP;108;5;23/08/2007 00.00;24/08/2007 00.00;24/08/2007 00.00;07/09/2007 00.00;11/10/2007 17.23;08/01/2008;09/01/2008;Fort Worth, TX;20/01/2008 00.00;1101X
3467;(7P) Office of the Assist. Regional Administrator- PBS;7;0707029TMMP;108;5;23/08/2007 00.00;24/08/2007 00.00;24/08/2007 00.00;07/09/2007 00.00;11/10/2007 17.23;08/01/2008;09/01/2008;Fort Worth, TX;20/01/2008 00.00;1101X
3468;(7P) Office of the Assist. Regional Administrator- PBS;7;0707029TMMP;108;5;23/08/2007 00.00;24/08/2007 00.00;24/08/2007 00.00;07/09/2007 00.00;11/10/2007 17.23;08/01/2008;09/01/2008;Fort Worth, TX;20/01/2008 00.00;1101X
3469;(7P) Office of the Assist. Regional Administrator- PBS;7;0707029TMMP;108;5;23/08/2007 00.00;24/08/2007 00.00;24/08/2007 00.00;07/09/2007 00.00;11/10/2007 17.23;08/01/2008;09/01/2008;Houston, TX;20/01/2008 00.00;1101X
3470;(7P) Office of the Assist. Regional Administrator- PBS;7;0707029TMMP;108;5;23/08/2007 00.00;24/08/2007 00.00;24/08/2007 00.00;07/09/2007 00.00;11/10/2007 17.23;08/01/2008;09/01/2008;Houston, TX;20/01/2008 00.00;1101X
3471;(7P) Office of the Assist. Regional Administrator- PBS;7;0707029TMMP;108;5;23/08/2007 00.00;24/08/2007 00.00;24/08/2007 00.00;07/09/2007 00.00;11/10/2007 17.23;08/01/2008;09/01/2008;Houston, TX;20/01/2008 00.00;1101X
3472;(7P) Office of the Assist. Regional Administrator- PBS;7;0707029TMMP;108;5;23/08/2007 00.00;24/08/2007 00.00;24/08/2007 00.00;07/09/2007 00.00;11/10/2007 17.23;08/01/2008;09/01/2008;Houston, TX;20/01/2008 00.00;1101X
3473;(7P) Office of the Assist. Regional Administrator- PBS;7;0707029TMMP;108;5;23/08/2007 00.00;24/08/2007 00.00;24/08/2007 00.00;07/09/2007 00.00;11/10/2007 17.28;08/01/2008;14/01/2008;Fort Worth, TX;20/01/2008 00.00;1101X
3474;(7P) Office of the Assist. Regional Administrator- PBS;7;0707029TMMP;108;5;23/08/2007 00.00;24/08/2007 00.00;24/08/2007 00.00;07/09/2007 00.00;11/10/2007 17.28;08/01/2008;14/01/2008;Houston, TX;20/01/2008 00.00;1101X
3475;(7P) Office of the Assist. Regional Administrator- PBS;7;0707045TMMP;32;1;07/12/2007 00.00;10/12/2007 00.00;11/12/2007 00.00;27/12/2007 00.00;07/01/2008 18.53;16/01/2008;16/01/2008;Fort Worth, TX;20/01/2008 00.00;343
3476;(WPGW) White House Service Center;N;WPW119DE07;39;1;01/03/2007 00.00;23/03/2007 00.00;30/03/2007 00.00;12/04/2007 00.00;24/04/2007 13.06;25/04/2007;27/04/2007;Washington DC Metro Area, DC;22/01/2008 00.00;560
3477;(10P) Office of  Asst Regional Administrator- PBS;10;890260;4;1;04/12/2007 00.00;07/12/2007 00.00;10/12/2007 00.00;21/12/2007 00.00;26/12/2007 13.15;18/01/2008;23/01/2008;Auburn, WA;23/01/2008 00.00;1101M
3478;(6PF) Facilities Management Division;6;080602509TA;1;1;09/01/2008 00.00;11/01/2008 00.00;15/01/2008 00.00;22/01/2008 00.00;23/01/2008 10.28;23/01/2008;23/01/2008;St Louis Metro Area, MO;23/01/2008 00.00;0000C*
3479;*(CID) CHRIS Development Team (ABOLISHED);CO;080002426MP;10;1;03/12/2007 00.00;03/12/2007 00.00;10/12/2007 00.00;21/12/2007 00.00;02/01/2008 09.47;16/01/2008;17/01/2008;Washington DC /or Kansas City, MO;24/01/2008 00.00;2210E
3480;*(CID) CHRIS Development Team (ABOLISHED);CO;080002426MP;10;1;03/12/2007 00.00;03/12/2007 00.00;10/12/2007 00.00;21/12/2007 00.00;10/01/2008 12.20;16/01/2008;17/01/2008;Washington DC /or Kansas City, MO;24/01/2008 00.00;2210E
