,Provinsi,Tahun,Jumlah Curah Hujan (mm),Jumlah Hari Hujan (hari),Tekanan Udara (mb),Penyinaran Matahari (%),Suhu (?C),Kecepatan Angin (m/det),Kelembaban
0,Aceh,2011,1268.0,150.0,1009.4,52.2,27.1,4.9,79.4
1,Sumatera Utara,2011,2042.0,225.0,1006.6958227848098,44.4,27.2,1.8,79.0
2,Sumatera Barat,2011,2298.672839506173,183.11612903225807,990.8,32.8,27.01151898734177,0.5,54.2
3,Riau,2011,2405.0,211.0,1008.7,42.3,27.0,5.4,74.5
4,Jambi,2011,2295.0,209.0,1010.2,54.1,26.9,5.5,82.5
5,Sumatera Selatan,2011,2593.0,217.0,1009.6,54.0,27.3,2.7,84.8
6,Bengkulu,2011,2298.672839506173,183.11612903225807,1006.6958227848098,59.120188679245295,27.01151898734177,3.8083018867924547,80.44388888888892
7,Lampung,2011,1568.0,118.0,1009.4,56.4,26.8,4.0,77.8
8,Kepulauan Bangka Belitung,2011,2921.0,213.0,1009.2,54.9,27.4,3.4,81.5
9,Kepulauan Riau,2011,3893.0,205.0,1010.1,39.9,26.8,6.8,85.7
10,DKI Jakarta,2011,1274.0,183.11612903225807,1009.5,60.9,28.5,2.4,74.3
11,Jawa Barat,2011,1789.0,215.0,922.1,61.0,23.4,3.0,76.0
12,Jawa Tengah,2011,1879.0,174.0,1009.6,67.5,27.7,10.3,75.0
13,DI Yogyakarta,2011,2285.0,170.0,995.2,22.9,26.0,1.0,78.4
14,Jawa Timur,2011,1790.0,183.11612903225807,1010.1,69.1,27.01151898734177,7.2,71.5
15,Banten,2011,1141.0,165.0,1008.8,61.0,27.0,2.4,81.0
16,Bali,2011,1890.0,174.0,1009.0,72.0,26.8,6.0,82.0
17,Nusa Tenggara Barat,2011,2298.672839506173,183.11612903225807,1009.7,68.0,27.01151898734177,7.0,80.1
18,Nusa Tenggara Timur,2011,1699.0,140.0,1009.1,73.3,27.0,8.8,75.2
19,Kalimantan Barat,2011,3129.0,196.0,1008.9,68.7,26.6,2.9,84.8
20,Kalimantan Tengah,2011,3434.6,218.0,1006.6958227848098,59.120188679245295,27.01151898734177,3.8083018867924547,80.44388888888892
21,Kalimantan Selatan,2011,2751.0,195.0,968.0,59.120188679245295,27.1,5.3,81.8
22,Kalimantan Timur,2011,2990.0,231.0,1011.3,38.8,27.3,3.3,82.2
23,Kalimantan Utara,2011,2298.672839506173,183.11612903225807,1006.6958227848098,59.120188679245295,27.01151898734177,3.8083018867924547,80.44388888888892
24,Sulawesi Utara,2011,3031.0,276.0,1009.4,54.3,26.1,4.5,84.5
25,Sulawesi Tengah,2011,667.0,183.11612903225807,1009.9,54.4,27.6,1.8,76.1
26,Sulawesi Selatan,2011,3465.0,176.0,1010.8,64.0,26.8,4.0,81.0
27,Sulawesi Tenggara,2011,1511.0,121.0,1006.6958227848098,59.120188679245295,27.01151898734177,2.0,84.0
28,Gorontalo,2011,2272.0,215.0,1009.7,60.9,27.0,0.9,83.3
29,Sulawesi Barat,2011,1660.0,175.0,1010.1,75.2,27.7,3.6,78.9
30,Maluku,2011,3988.0,257.0,1009.2,49.4,26.6,4.2,85.4
31,Maluku Utara,2011,2962.0,239.0,1010.1,51.3,26.9,4.9,82.4
32,Papua Barat,2011,2681.0,246.0,1007.9,46.0,27.1,3.7,85.8
33,Papua,2011,2226.0,196.0,1008.0,58.0,27.1,2.7,85.0
34,Aceh,2012,1098.0,137.0,1009.4,52.6,26.9,4.8,79.6
35,Sumatera Utara,2012,3175.0,227.0,1006.6958227848098,48.0,27.3,0.6,76.0
36,Sumatera Barat,2012,4339.0,230.0,996.3,45.2,25.2,0.3,87.0
37,Riau,2012,2636.0,217.0,1008.7,51.2,27.3,5.9,76.1
38,Jambi,2012,1874.0,191.0,1006.6,50.3,26.7,5.1,81.4
39,Sumatera Selatan,2012,3083.0,194.0,1009.8,58.0,27.4,3.0,83.0
40,Bengkulu,2012,2545.0,143.0,1008.5,49.0,26.9,2.0,82.0
41,Lampung,2012,1685.0,143.0,1009.8,64.6,26.8,4.2,79.2
42,Kepulauan Bangka Belitung,2012,2018.0,195.0,1010.2,58.3,27.0,3.0,82.0
43,Kepulauan Riau,2012,3253.0,202.0,1010.2,48.9,26.8,6.9,85.3
44,DKI Jakarta,2012,1570.0,139.0,1010.0,55.7,28.1,4.7,73.9
45,Jawa Barat,2012,2510.0,219.0,923.0,61.5,23.4,3.2,75.8
46,Jawa Tengah,2012,2248.0,164.0,1009.6,67.5,28.0,10.2,75.0
47,DI Yogyakarta,2012,2014.0,163.0,995.2,22.9,26.6,0.6,80.3
48,Jawa Timur,2012,1389.0,183.11612903225807,1010.0,75.0,28.0,13.3,80.44388888888892
49,Banten,2012,1197.0,171.0,1009.1,61.0,27.1,2.3,81.0
50,Bali,2012,1849.0,132.0,1009.3,78.0,26.9,6.0,81.0
51,Nusa Tenggara Barat,2012,2137.0,153.0,1004.6,68.3,25.8,6.0,81.3
52,Nusa Tenggara Timur,2012,1211.0,88.0,1009.7,81.4,27.2,3.1,73.8
53,Kalimantan Barat,2012,3081.0,218.0,1009.8,66.0,27.1,2.0,83.3
54,Kalimantan Tengah,2012,2596.0,210.0,1012.7,51.0,27.3,3.0,84.3
55,Kalimantan Selatan,2012,2486.0,225.0,1011.4,54.3,26.6,3.8,83.9
56,Kalimantan Timur,2012,2421.0,231.0,1010.0,42.3,28.0,3.4,81.4
57,Kalimantan Utara,2012,2298.672839506173,183.11612903225807,1006.6958227848098,59.120188679245295,27.01151898734177,3.8083018867924547,80.44388888888892
58,Sulawesi Utara,2012,3013.0,230.0,1009.2,55.0,26.1,2.9,84.0
59,Sulawesi Tengah,2012,760.0,183.11612903225807,1010.3,62.8,27.7,3.8,76.0
60,Sulawesi Selatan,2012,2493.0,191.0,1011.2,68.8,27.0,3.9,83.4
61,Sulawesi Tenggara,2012,2298.672839506173,183.11612903225807,1006.6958227848098,59.120188679245295,27.01151898734177,3.8083018867924547,80.44388888888892
62,Gorontalo,2012,1775.0,207.0,1009.6,50.2,27.0,1.3,82.7
63,Sulawesi Barat,2012,1087.0,165.0,1009.1,77.6,27.6,4.5,79.1
64,Maluku,2012,5041.0,226.0,1009.8,54.6,26.4,4.5,85.5
65,Maluku Utara,2012,2298.672839506173,183.11612903225807,1006.6958227848098,59.120188679245295,27.01151898734177,3.8083018867924547,80.44388888888892
66,Papua Barat,2012,3290.0,256.0,1008.5,48.3,27.2,3.7,83.7
67,Papua,2012,1916.0,219.0,1008.8,57.3,27.0,3.1,81.8
68,Aceh,2013,1623.6,151.0,1009.7,49.4,27.0,5.2,80.7
69,Sumatera Utara,2013,2627.0,218.0,1006.6958227848098,45.66,28.77,1.99,78.67
70,Sumatera Barat,2013,4627.4,232.0,996.57,43.3,25.13,1.06,86.91
71,Riau,2013,2628.7,214.0,1008.96,59.120188679245295,26.0,3.8083018867924547,76.0
72,Jambi,2013,2093.6,229.0,1010.91,36.06,26.75,2.45,83.42
73,Sumatera Selatan,2013,3409.2,238.0,1009.7,48.0,27.3,3.6,84.0
74,Bengkulu,2013,3980.9,250.0,1008.99,67.65,26.74,3.57,83.93
75,Lampung,2013,2456.7,198.0,1009.9,60.4,26.7,1.5,81.0
76,Kepulauan Bangka Belitung,2013,2839.2,243.0,1009.13,48.5,27.0,5.67,83.58
77,Kepulauan Riau,2013,3389.4,227.0,1010.1,53.0,26.77,7.0,85.0
78,DKI Jakarta,2013,2524.6,172.0,1009.7,48.3,28.2,3.92,77.43
