,movie_code,duration,facenumber_in_poster,country,budget,gross,num_voted_users,num_user_for_reviews,num_critic_for_reviews,movie_facebook_likes,director_facebook_likes,actor_1_facebook_likes,actor_2_facebook_likes,actor_3_facebook_likes,cast_total_facebook_likes,imdb_score,imdb_score_class
1213,1214,90.0,4.0,USA,40000000.0,72266306.0,127528,422.0,235.0,0,38.0,2000.0,897.0,882.0,6775,6.6,Good
1825,1826,93.0,2.0,UK,28000000.0,5204007.0,42876,167.0,95.0,0,31.0,783.0,132.0,57.0,1044,6.3,Good
4509,4510,84.0,0.0,Canada,1200000.0,,1321,51.0,22.0,238,0.0,380.0,91.0,63.0,630,3.8,Bad
1770,1771,104.0,2.0,USA,28000000.0,43097652.0,59068,128.0,171.0,0,96.0,943.0,763.0,559.0,3497,6.3,Good
599,600,103.0,0.0,USA,58000000.0,70117571.0,56741,515.0,160.0,1000,906.0,1000.0,906.0,748.0,6207,6.4,Good
1259,1260,94.0,3.0,Germany,60000000.0,36037909.0,10132,130.0,82.0,390,0.0,374.0,258.0,235.0,1238,4.7,Fair
3592,3593,89.0,0.0,USA,8000000.0,22168359.0,29659,227.0,88.0,1000,81.0,321.0,101.0,92.0,584,5.1,Fair
3585,3586,124.0,3.0,USA,6000000.0,54800000.0,35130,283.0,62.0,0,0.0,2000.0,553.0,535.0,5122,7.8,Good
2039,2040,89.0,0.0,USA,24000000.0,9639242.0,16437,68.0,169.0,0,41.0,2000.0,1000.0,847.0,5470,4.9,Fair
1136,1137,130.0,1.0,USA,44500000.0,136019448.0,452465,695.0,656.0,89000,0.0,1000.0,660.0,650.0,3133,7.7,Good
432,433,120.0,0.0,USA,85000000.0,75754670.0,208422,342.0,345.0,3000,0.0,3000.0,169.0,160.0,3632,7.0,Good
734,735,170.0,0.0,USA,60000000.0,75370763.0,32353,263.0,96.0,0,0.0,19000.0,1000.0,380.0,20683,6.5,Good
1698,1699,150.0,0.0,USA,30000000.0,12712093.0,70771,671.0,222.0,0,0.0,23000.0,909.0,855.0,27829,6.7,Good
1403,1404,43.0,2.0,USA,,,2185,30.0,5.0,0,,778.0,618.0,452.0,2255,5.8,Fair
1626,1627,94.0,1.0,Spain,17000000.0,56816662.0,301149,509.0,487.0,78000,11000.0,617.0,204.0,183.0,1289,7.7,Good
4346,4347,97.0,1.0,UK,,466702.0,65877,100.0,249.0,17000,0.0,920.0,680.0,594.0,3275,7.3,Good
